Verse,Verse_sans,Translation,Link
3/28,tattva-vit tu mahā-bāhoguṇa-karma-vibhāgayoḥguṇā guṇeṣu vartantaiti matvā na sajjate,"One who is in knowledge of the Absolute Truth, O mighty-armed, does not engage himself in the senses and sense gratification, knowing well the differences between work in devotion and work for fruitive results.",https://vedabase.io/en/library/bg/3/28/
3/29,prakṛter guṇa-sammūḍhāḥsajjante guṇa-karmasutān akṛtsna-vido mandānkṛtsna-vin na vicālayet,"Bewildered by the modes of material nature, the ignorant fully engage themselves in material activities and become attached. But the wise should not unsettle them, although these duties are inferior due to the performers’ lack of knowledge.",https://vedabase.io/en/library/bg/3/29/
3/30,mayi sarvāṇi karmāṇisannyasyādhyātma-cetasānirāśīr nirmamo bhūtvāyudhyasva vigata-jvaraḥ,"Therefore, O Arjuna, surrendering all your works unto Me, with full knowledge of Me, without desires for profit, with no claims to proprietorship, and free from lethargy, fight.",https://vedabase.io/en/library/bg/3/30/
3/31,ye me matam idaṁ nityamanutiṣṭhanti mānavāḥśraddhāvanto ’nasūyantomucyante te ’pi karmabhiḥ,"Those persons who execute their duties according to My injunctions and who follow this teaching faithfully, without envy, become free from the bondage of fruitive actions.",https://vedabase.io/en/library/bg/3/31/
3/32,ye tv etad abhyasūyantonānutiṣṭhanti me matamsarva-jñāna-vimūḍhāṁs tānviddhi naṣṭān acetasaḥ,"But those who, out of envy, disregard these teachings and do not follow them regularly are to be considered bereft of all knowledge, befooled, and ruined in their endeavors for perfection.",https://vedabase.io/en/library/bg/3/32/
3/33,sadṛśaṁ ceṣṭate svasyāḥprakṛter jñānavān apiprakṛtiṁ yānti bhūtāninigrahaḥ kiṁ kariṣyati,"Even a man of knowledge acts according to his own nature, for everyone follows the nature he has acquired from the three modes. What can repression accomplish?",https://vedabase.io/en/library/bg/3/33/
3/34,indriyasyendriyasyārtherāga-dveṣau vyavasthitautayor na vaśam āgacchettau hy asya paripanthinau,"There are principles to regulate attachment and aversion pertaining to the senses and their objects. One should not come under the control of such attachment and aversion, because they are stumbling blocks on the path of self-realization.",https://vedabase.io/en/library/bg/3/34/
3/35,śreyān sva-dharmo viguṇaḥpara-dharmāt sv-anuṣṭhitātsva-dharme nidhanaṁ śreyaḥpara-dharmo bhayāvahaḥ,"It is far better to discharge one’s prescribed duties, even though faultily, than another’s duties perfectly. Destruction in the course of performing one’s own duty is better than engaging in another’s duties, for to follow another’s path is dangerous.",https://vedabase.io/en/library/bg/3/35/
3/36,arjuna uvācaatha kena prayukto ’yaṁpāpaṁ carati pūruṣaḥanicchann api vārṣṇeyabalād iva niyojitaḥ,"Arjuna said: O descendant of Vṛṣṇi, by what is one impelled to sinful acts, even unwillingly, as if engaged by force?",https://vedabase.io/en/library/bg/3/36/
3/37,śrī-bhagavān uvācakāma eṣa krodha eṣarajo-guṇa-samudbhavaḥmahāśano mahā-pāpmāviddhy enam iha vairiṇam,"The Supreme Personality of Godhead said: It is lust only, Arjuna, which is born of contact with the material mode of passion and later transformed into wrath, and which is the all-devouring sinful enemy of this world.",https://vedabase.io/en/library/bg/3/37/
3/38,dhūmenāvriyate vahniryathādarśo malena cayatholbenāvṛto garbhastathā tenedam āvṛtam,"As fire is covered by smoke, as a mirror is covered by dust, or as the embryo is covered by the womb, the living entity is similarly covered by different degrees of this lust.",https://vedabase.io/en/library/bg/3/38/
3/39,āvṛtaṁ jñānam etenajñānino nitya-vairiṇākāma-rūpeṇa kaunteyaduṣpūreṇānalena ca,"Thus the wise living entity’s pure consciousness becomes covered by his eternal enemy in the form of lust, which is never satisfied and which burns like fire.",https://vedabase.io/en/library/bg/3/39/
3/40,indriyāṇi mano buddhirasyādhiṣṭhānam ucyateetair vimohayaty eṣajñānam āvṛtya dehinam,"The senses, the mind and the intelligence are the sitting places of this lust. Through them lust covers the real knowledge of the living entity and bewilders him.",https://vedabase.io/en/library/bg/3/40/
3/41,tasmāt tvam indriyāṇy ādauniyamya bharatarṣabhapāpmānaṁ prajahi hy enaṁjñāna-vijñāna-nāśanam,"Therefore, O Arjuna, best of the Bhāratas, in the very beginning curb this great symbol of sin [lust] by regulating the senses, and slay this destroyer of knowledge and self-realization.",https://vedabase.io/en/library/bg/3/41/
3/42,indriyāṇi parāṇy āhurindriyebhyaḥ paraṁ manaḥmanasas tu parā buddhiryo buddheḥ paratas tu saḥ,The working senses are superior to dull matter; mind is higher than the senses; intelligence is still higher than the mind; and he [the soul] is even higher than the intelligence.,https://vedabase.io/en/library/bg/3/42/
3/43,evaṁ buddheḥ paraṁ buddhvāsaṁstabhyātmānam ātmanājahi śatruṁ mahā-bāhokāma-rūpaṁ durāsadam,"Thus knowing oneself to be transcendental to the material senses, mind and intelligence, O mighty-armed Arjuna, one should steady the mind by deliberate spiritual intelligence [Kṛṣṇa consciousness] and thus – by spiritual strength – conquer this insatiable enemy known as lust.",https://vedabase.io/en/library/bg/3/43/
4/1,śrī-bhagavān uvācaimaṁ vivasvate yogaṁproktavān aham avyayamvivasvān manave prāhamanur ikṣvākave ’bravīt,"The Personality of Godhead, Lord Śrī Kṛṣṇa, said: I instructed this imperishable science of yoga to the sun-god, Vivasvān, and Vivasvān instructed it to Manu, the father of mankind, and Manu in turn instructed it to Ikṣvāku.",https://vedabase.io/en/library/bg/4/1/
4/2,evaṁ paramparā-prāptamimaṁ rājarṣayo viduḥsa kāleneha mahatāyogo naṣṭaḥ paran-tapa,"This supreme science was thus received through the chain of disciplic succession, and the saintly kings understood it in that way. But in course of time the succession was broken, and therefore the science as it is appears to be lost.",https://vedabase.io/en/library/bg/4/2/
4/3,sa evāyaṁ mayā te ’dyayogaḥ proktaḥ purātanaḥbhakto ’si me sakhā cetirahasyaṁ hy etad uttamam,That very ancient science of the relationship with the Supreme is today told by Me to you because you are My devotee as well as My friend and can therefore understand the transcendental mystery of this science.,https://vedabase.io/en/library/bg/4/3/
4/4,arjuna uvācaaparaṁ bhavato janmaparaṁ janma vivasvataḥkatham etad vijānīyāṁtvam ādau proktavān iti,Arjuna said: The sun-god Vivasvān is senior by birth to You. How am I to understand that in the beginning You instructed this science to him?,https://vedabase.io/en/library/bg/4/4/
4/5,śrī-bhagavān uvācabahūni me vyatītānijanmāni tava cārjunatāny ahaṁ veda sarvāṇina tvaṁ vettha paran-tapa,"The Personality of Godhead said: Many, many births both you and I have passed. I can remember all of them, but you cannot, O subduer of the enemy!",https://vedabase.io/en/library/bg/4/5/
4/6,ajo ’pi sann avyayātmābhūtānām īśvaro ’pi sanprakṛtiṁ svām adhiṣṭhāyasambhavāmy ātma-māyayā,"Although I am unborn and My transcendental body never deteriorates, and although I am the Lord of all living entities, by My internal energy I still appear in every millennium in My original transcendental form.",https://vedabase.io/en/library/bg/4/6/
4/7,yadā yadā hi dharmasyaglānir bhavati bhārataabhyutthānam adharmasyatadātmānaṁ sṛjāmy aham,"Whenever and wherever there is a decline in religious practice, O descendant of Bharata, and a predominant rise of irreligion – at that time I descend Myself.",https://vedabase.io/en/library/bg/4/7/
4/8,paritrāṇāya sādhūnāṁvināśāya ca duṣkṛtāmdharma-saṁsthāpanārthāyasambhavāmi yuge yuge,"To deliver the pious and to annihilate the miscreants, as well as to reestablish the principles of religion, I Myself appear, millennium after millennium.",https://vedabase.io/en/library/bg/4/8/
4/9,janma karma ca me divyamevaṁ yo vetti tattvataḥtyaktvā dehaṁ punar janmanaiti mām eti so ’rjuna,"One who knows the transcendental nature of My appearance and activities does not, upon leaving the body, take his birth again in this material world, but attains My eternal abode, O Arjuna.",https://vedabase.io/en/library/bg/4/9/
4/10,vīta-rāga-bhaya-krodhāman-mayā mām upāśritāḥbahavo jñāna-tapasāpūtā mad-bhāvam āgatāḥ,"Being freed from attachment, fear and anger, being fully absorbed in Me and taking refuge in Me, many, many persons in the past became purified by knowledge of Me – and thus they all attained transcendental love for Me.",https://vedabase.io/en/library/bg/4/10/
4/11,ye yathā māṁ prapadyantetāṁs tathaiva bhajāmy ahammama vartmānuvartantemanuṣyāḥ pārtha sarvaśaḥ,"As all surrender unto Me, I reward them accordingly. Everyone follows My path in all respects, O son of Pṛthā.",https://vedabase.io/en/library/bg/4/11/
4/12,kāṅkṣantaḥ karmaṇāṁ siddhiṁyajanta iha devatāḥkṣipraṁ hi mānuṣe lokesiddhir bhavati karma-jā,"Men in this world desire success in fruitive activities, and therefore they worship the demigods. Quickly, of course, men get results from fruitive work in this world.",https://vedabase.io/en/library/bg/4/12/
4/13,cātur-varṇyaṁ mayā sṛṣṭaṁguṇa-karma-vibhāgaśaḥtasya kartāram api māṁviddhy akartāram avyayam,"According to the three modes of material nature and the work associated with them, the four divisions of human society are created by Me. And although I am the creator of this system, you should know that I am yet the nondoer, being unchangeable.",https://vedabase.io/en/library/bg/4/13/
4/14,na māṁ karmāṇi limpantina me karma-phale spṛhāiti māṁ yo ’bhijānātikarmabhir na sa badhyate,There is no work that affects Me; nor do I aspire for the fruits of action. One who understands this truth about Me also does not become entangled in the fruitive reactions of work.,https://vedabase.io/en/library/bg/4/14/
4/15,evaṁ jñātvā kṛtaṁ karmapūrvair api mumukṣubhiḥkuru karmaiva tasmāt tvaṁpūrvaiḥ pūrva-taraṁ kṛtam,"All the liberated souls in ancient times acted with this understanding of My transcendental nature. Therefore you should perform your duty, following in their footsteps.",https://vedabase.io/en/library/bg/4/15/
4/16,kiṁ karma kim akarmetikavayo ’py atra mohitāḥtat te karma pravakṣyāmiyaj jñātvā mokṣyase ’śubhāt,"Even the intelligent are bewildered in determining what is action and what is inaction. Now I shall explain to you what action is, knowing which you shall be liberated from all misfortune.",https://vedabase.io/en/library/bg/4/16/
4/17,karmaṇo hy api boddhavyaṁboddhavyaṁ ca vikarmaṇaḥakarmaṇaś ca boddhavyaṁgahanā karmaṇo gatiḥ,"The intricacies of action are very hard to understand. Therefore one should know properly what action is, what forbidden action is and what inaction is.",https://vedabase.io/en/library/bg/4/17/
4/18,karmaṇy akarma yaḥ paśyedakarmaṇi ca karma yaḥsa buddhimān manuṣyeṣusa yuktaḥ kṛtsna-karma-kṛt,"One who sees inaction in action and action in inaction is intelligent among men, and he is in the transcendental position, although engaged in all sorts of activities.",https://vedabase.io/en/library/bg/4/18/
4/19,yasya sarve samārambhāḥkāma-saṅkalpa-varjitāḥjñānāgni-dagdha-karmāṇaṁtam āhuḥ paṇḍitaṁ budhāḥ,One is understood to be in full knowledge whose every endeavor is devoid of desire for sense gratification. He is said by sages to be a worker for whom the reactions of work have been burned up by the fire of perfect knowledge.,https://vedabase.io/en/library/bg/4/19/
4/20,tyaktvā karma-phalāsaṅgaṁnitya-tṛpto nirāśrayaḥkarmaṇy abhipravṛtto ’pinaiva kiñcit karoti saḥ,"Abandoning all attachment to the results of his activities, ever satisfied and independent, he performs no fruitive action, although engaged in all kinds of undertakings.",https://vedabase.io/en/library/bg/4/20/
4/21,nirāśīr yata-cittātmātyakta-sarva-parigrahaḥśārīraṁ kevalaṁ karmakurvan nāpnoti kilbiṣam,"Such a man of understanding acts with mind and intelligence perfectly controlled, gives up all sense of proprietorship over his possessions and acts only for the bare necessities of life. Thus working, he is not affected by sinful reactions.",https://vedabase.io/en/library/bg/4/21/
4/22,yadṛcchā-lābha-santuṣṭodvandvātīto vimatsaraḥsamaḥ siddhāv asiddhau cakṛtvāpi na nibadhyate,"He who is satisfied with gain which comes of its own accord, who is free from duality and does not envy, who is steady in both success and failure, is never entangled, although performing actions.",https://vedabase.io/en/library/bg/4/22/
4/23,gata-saṅgasya muktasyajñānāvasthita-cetasaḥyajñāyācarataḥ karmasamagraṁ pravilīyate,The work of a man who is unattached to the modes of material nature and who is fully situated in transcendental knowledge merges entirely into transcendence.,https://vedabase.io/en/library/bg/4/23/
4/24,brahmārpaṇaṁ brahma havirbrahmāgnau brahmaṇā hutambrahmaiva tena gantavyaṁbrahma-karma-samādhinā,"A person who is fully absorbed in Kṛṣṇa consciousness is sure to attain the spiritual kingdom because of his full contribution to spiritual activities, in which the consummation is absolute and that which is offered is of the same spiritual nature.",https://vedabase.io/en/library/bg/4/24/
4/25,daivam evāpare yajñaṁyoginaḥ paryupāsatebrahmāgnāv apare yajñaṁyajñenaivopajuhvati,"Some yogīs perfectly worship the demigods by offering different sacrifices to them, and some offer sacrifices in the fire of the Supreme Brahman.",https://vedabase.io/en/library/bg/4/25/
4/26,śrotrādīnīndriyāṇy anyesaṁyamāgniṣu juhvatiśabdādīn viṣayān anyaindriyāgniṣu juhvati,"Some [the unadulterated brahmacārīs] sacrifice the hearing process and the senses in the fire of mental control, and others [the regulated householders] sacrifice the objects of the senses in the fire of the senses.",https://vedabase.io/en/library/bg/4/26/
4/27,sarvāṇīndriya-karmāṇiprāṇa-karmāṇi cāpareātma-saṁyama-yogāgnaujuhvati jñāna-dīpite,"Others, who are interested in achieving self-realization through control of the mind and senses, offer the functions of all the senses, and of the life breath, as oblations into the fire of the controlled mind.",https://vedabase.io/en/library/bg/4/27/
4/28,dravya-yajñās tapo-yajñāyoga-yajñās tathāparesvādhyāya-jñāna-yajñāś cayatayaḥ saṁśita-vratāḥ,"Having accepted strict vows, some become enlightened by sacrificing their possessions, and others by performing severe austerities, by practicing the yoga of eightfold mysticism, or by studying the Vedas to advance in transcendental knowledge.",https://vedabase.io/en/library/bg/4/28/
4/29,apāne juhvati prāṇaṁprāṇe ’pānaṁ tathāpareprāṇāpāna-gatī ruddhvāprāṇāyāma-parāyaṇāḥapare niyatāhārāḥprāṇān prāṇeṣu juhvati,"Still others, who are inclined to the process of breath restraint to remain in trance, practice by offering the movement of the outgoing breath into the incoming, and the incoming breath into the outgoing, and thus at last remain in trance, stopping all breathing. Others, curtailing the eating process, offer the outgoing breath into itself as a sacrifice.",https://vedabase.io/en/library/bg/4/29/
4/30,sarve ’py ete yajña-vidoyajña-kṣapita-kalmaṣāḥyajña-śiṣṭāmṛta-bhujoyānti brahma sanātanam,"All these performers who know the meaning of sacrifice become cleansed of sinful reactions, and, having tasted the nectar of the results of sacrifices, they advance toward the supreme eternal atmosphere.",https://vedabase.io/en/library/bg/4/30/
4/31,nāyaṁ loko ’sty ayajñasyakuto ’nyaḥ kuru-sattama,"O best of the Kuru dynasty, without sacrifice one can never live happily on this planet or in this life: what then of the next?",https://vedabase.io/en/library/bg/4/31/
4/32,evaṁ bahu-vidhā yajñāvitatā brahmaṇo mukhekarma-jān viddhi tān sarvānevaṁ jñātvā vimokṣyase,"All these different types of sacrifice are approved by the Vedas, and all of them are born of different types of work. Knowing them as such, you will become liberated.",https://vedabase.io/en/library/bg/4/32/
4/33,śreyān dravya-mayād yajñājjñāna-yajñaḥ paran-tapasarvaṁ karmākhilaṁ pārthajñāne parisamāpyate,"O chastiser of the enemy, the sacrifice performed in knowledge is better than the mere sacrifice of material possessions. After all, O son of Pṛthā, all sacrifices of work culminate in transcendental knowledge.",https://vedabase.io/en/library/bg/4/33/
4/34,tad viddhi praṇipātenaparipraśnena sevayāupadekṣyanti te jñānaṁjñāninas tattva-darśinaḥ,Just try to learn the truth by approaching a spiritual master. Inquire from him submissively and render service unto him. The self-realized souls can impart knowledge unto you because they have seen the truth.,https://vedabase.io/en/library/bg/4/34/
4/35,yaj jñātvā na punar mohamevaṁ yāsyasi pāṇḍavayena bhūtāny aśeṣāṇidrakṣyasy ātmany atho mayi,"Having obtained real knowledge from a self-realized soul, you will never fall again into such illusion, for by this knowledge you will see that all living beings are but part of the Supreme, or, in other words, that they are Mine.",https://vedabase.io/en/library/bg/4/35/
4/36,api ced asi pāpebhyaḥsarvebhyaḥ pāpa-kṛt-tamaḥsarvaṁ jñāna-plavenaivavṛjinaṁ santariṣyasi,"Even if you are considered to be the most sinful of all sinners, when you are situated in the boat of transcendental knowledge you will be able to cross over the ocean of miseries.",https://vedabase.io/en/library/bg/4/36/
4/37,yathaidhāṁsi samiddho ’gnirbhasma-sāt kurute ’rjunajñānāgniḥ sarva-karmāṇibhasma-sāt kurute tathā,"As a blazing fire turns firewood to ashes, O Arjuna, so does the fire of knowledge burn to ashes all reactions to material activities.",https://vedabase.io/en/library/bg/4/37/
4/38,na hi jñānena sadṛśaṁpavitram iha vidyatetat svayaṁ yoga-saṁsiddhaḥkālenātmani vindati,"In this world, there is nothing so sublime and pure as transcendental knowledge. Such knowledge is the mature fruit of all mysticism. And one who has become accomplished in the practice of devotional service enjoys this knowledge within himself in due course of time.",https://vedabase.io/en/library/bg/4/38/
4/39,śraddhāvāḻ labhate jñānaṁtat-paraḥ saṁyatendriyaḥjñānaṁ labdhvā parāṁ śāntimacireṇādhigacchati,"A faithful man who is dedicated to transcendental knowledge and who subdues his senses is eligible to achieve such knowledge, and having achieved it he quickly attains the supreme spiritual peace.",https://vedabase.io/en/library/bg/4/39/
4/40,ajñaś cāśraddadhānaś casaṁśayātmā vinaśyatināyaṁ loko ’sti na parona sukhaṁ saṁśayātmanaḥ,But ignorant and faithless persons who doubt the revealed scriptures do not attain God consciousness; they fall down. For the doubting soul there is happiness neither in this world nor in the next.,https://vedabase.io/en/library/bg/4/40/
4/41,yoga-sannyasta-karmāṇaṁjñāna-sañchinna-saṁśayamātmavantaṁ na karmāṇinibadhnanti dhanañ-jaya,"One who acts in devotional service, renouncing the fruits of his actions, and whose doubts have been destroyed by transcendental knowledge, is situated factually in the self. Thus he is not bound by the reactions of work, O conqueror of riches.",https://vedabase.io/en/library/bg/4/41/
4/42,tasmād ajñāna-sambhūtaṁhṛt-sthaṁ jñānāsinātmanaḥchittvainaṁ saṁśayaṁ yogamātiṣṭhottiṣṭha bhārata,"Therefore the doubts which have arisen in your heart out of ignorance should be slashed by the weapon of knowledge. Armed with yoga, O Bhārata, stand and fight.",https://vedabase.io/en/library/bg/4/42/
5/1,arjuna uvācasannyāsaṁ karmaṇāṁ kṛṣṇapunar yogaṁ ca śaṁsasiyac chreya etayor ekaṁtan me brūhi su-niścitam,"Arjuna said: O Kṛṣṇa, first of all You ask me to renounce work, and then again You recommend work with devotion. Now will You kindly tell me definitely which of the two is more beneficial?",https://vedabase.io/en/library/bg/5/1/
5/2,śrī-bhagavān uvācasannyāsaḥ karma-yogaś caniḥśreyasa-karāv ubhautayos tu karma-sannyāsātkarma-yogo viśiṣyate,"The Personality of Godhead replied: The renunciation of work and work in devotion are both good for liberation. But, of the two, work in devotional service is better than renunciation of work.",https://vedabase.io/en/library/bg/5/2/
5/3,jñeyaḥ sa nitya-sannyāsīyo na dveṣṭi na kāṅkṣatinirdvandvo hi mahā-bāhosukhaṁ bandhāt pramucyate,"One who neither hates nor desires the fruits of his activities is known to be always renounced. Such a person, free from all dualities, easily overcomes material bondage and is completely liberated, O mighty-armed Arjuna.",https://vedabase.io/en/library/bg/5/3/
5/4,sāṅkhya-yogau pṛthag bālāḥpravadanti na paṇḍitāḥekam apy āsthitaḥ samyagubhayor vindate phalam,Only the ignorant speak of devotional service [karma-yoga] as being different from the analytical study of the material world [Sāṅkhya]. Those who are actually learned say that he who applies himself well to one of these paths achieves the results of both.,https://vedabase.io/en/library/bg/5/4/
5/5,yat sāṅkhyaiḥ prāpyate sthānaṁtad yogair api gamyateekaṁ sāṅkhyaṁ ca yogaṁ cayaḥ paśyati sa paśyati,"One who knows that the position reached by means of analytical study can also be attained by devotional service, and who therefore sees analytical study and devotional service to be on the same level, sees things as they are.",https://vedabase.io/en/library/bg/5/5/
5/6,sannyāsas tu mahā-bāhoduḥkham āptum ayogataḥyoga-yukto munir brahmana cireṇādhigacchati,Merely renouncing all activities yet not engaging in the devotional service of the Lord cannot make one happy. But a thoughtful person engaged in devotional service can achieve the Supreme without delay.,https://vedabase.io/en/library/bg/5/6/
5/7,yoga-yukto viśuddhātmāvijitātmā jitendriyaḥsarva-bhūtātma-bhūtātmākurvann api na lipyate,"One who works in devotion, who is a pure soul, and who controls his mind and senses is dear to everyone, and everyone is dear to him. Though always working, such a man is never entangled.",https://vedabase.io/en/library/bg/5/7/
5/8-9,naiva kiñcit karomītiyukto manyeta tattva-vitpaśyañ śṛṇvan spṛśañ jighrannaśnan gacchan svapañ śvasan,"A person in the divine consciousness, although engaged in seeing, hearing, touching, smelling, eating, moving about, sleeping and breathing, always knows within himself that he actually does nothing at all. Because while speaking, evacuating, receiving, or opening or closing his eyes, he always knows that only the material senses are engaged with their objects and that he is aloof from them.",https://vedabase.io/en/library/bg/5/8-9/
5/10,brahmaṇy ādhāya karmāṇisaṅgaṁ tyaktvā karoti yaḥlipyate na sa pāpenapadma-patram ivāmbhasā,"One who performs his duty without attachment, surrendering the results unto the Supreme Lord, is unaffected by sinful action, as the lotus leaf is untouched by water.",https://vedabase.io/en/library/bg/5/10/
5/11,kāyena manasā buddhyākevalair indriyair apiyoginaḥ karma kurvantisaṅgaṁ tyaktvātma-śuddhaye,"The yogīs, abandoning attachment, act with body, mind, intelligence and even with the senses, only for the purpose of purification.",https://vedabase.io/en/library/bg/5/11/
5/12,yuktaḥ karma-phalaṁ tyaktvāśāntim āpnoti naiṣṭhikīmayuktaḥ kāma-kāreṇaphale sakto nibadhyate,"The steadily devoted soul attains unadulterated peace because he offers the result of all activities to Me; whereas a person who is not in union with the Divine, who is greedy for the fruits of his labor, becomes entangled.",https://vedabase.io/en/library/bg/5/12/
5/13,sarva-karmāṇi manasāsannyasyāste sukhaṁ vaśīnava-dvāre pure dehīnaiva kurvan na kārayan,"When the embodied living being controls his nature and mentally renounces all actions, he resides happily in the city of nine gates [the material body], neither working nor causing work to be done.",https://vedabase.io/en/library/bg/5/13/
5/14,na kartṛtvaṁ na karmāṇilokasya sṛjati prabhuḥna karma-phala-saṁyogaṁsvabhāvas tu pravartate,"The embodied spirit, master of the city of his body, does not create activities, nor does he induce people to act, nor does he create the fruits of action. All this is enacted by the modes of material nature.",https://vedabase.io/en/library/bg/5/14/
5/15,nādatte kasyacit pāpaṁna caiva sukṛtaṁ vibhuḥajñānenāvṛtaṁ jñānaṁtena muhyanti jantavaḥ,"Nor does the Supreme Lord assume anyone’s sinful or pious activities. Embodied beings, however, are bewildered because of the ignorance which covers their real knowledge.",https://vedabase.io/en/library/bg/5/15/
5/16,jñānena tu tad ajñānaṁyeṣāṁ nāśitam ātmanaḥteṣām āditya-vaj jñānaṁprakāśayati tat param,"When, however, one is enlightened with the knowledge by which nescience is destroyed, then his knowledge reveals everything, as the sun lights up everything in the daytime.",https://vedabase.io/en/library/bg/5/16/
5/17,tad-buddhayas tad-ātmānastan-niṣṭhās tat-parāyaṇāḥgacchanty apunar-āvṛttiṁjñāna-nirdhūta-kalmaṣāḥ,"When one’s intelligence, mind, faith and refuge are all fixed in the Supreme, then one becomes fully cleansed of misgivings through complete knowledge and thus proceeds straight on the path of liberation.",https://vedabase.io/en/library/bg/5/17/
5/18,vidyā-vinaya-sampannebrāhmaṇe gavi hastiniśuni caiva śva-pāke capaṇḍitāḥ sama-darśinaḥ,"The humble sages, by virtue of true knowledge, see with equal vision a learned and gentle brāhmaṇa, a cow, an elephant, a dog and a dog-eater [outcaste].",https://vedabase.io/en/library/bg/5/18/
5/19,ihaiva tair jitaḥ sargoyeṣāṁ sāmye sthitaṁ manaḥnirdoṣaṁ hi samaṁ brahmatasmād brahmaṇi te sthitāḥ,"Those whose minds are established in sameness and equanimity have already conquered the conditions of birth and death. They are flawless like Brahman, and thus they are already situated in Brahman.",https://vedabase.io/en/library/bg/5/19/
5/20,na prahṛṣyet priyaṁ prāpyanodvijet prāpya cāpriyamsthira-buddhir asammūḍhobrahma-vid brahmaṇi sthitaḥ,"A person who neither rejoices upon achieving something pleasant nor laments upon obtaining something unpleasant, who is self-intelligent, who is unbewildered, and who knows the science of God is already situated in transcendence.",https://vedabase.io/en/library/bg/5/20/
5/21,bāhya-sparśeṣv asaktātmāvindaty ātmani yat sukhamsa brahma-yoga-yuktātmāsukham akṣayam aśnute,"Such a liberated person is not attracted to material sense pleasure but is always in trance, enjoying the pleasure within. In this way the self-realized person enjoys unlimited happiness, for he concentrates on the Supreme.",https://vedabase.io/en/library/bg/5/21/
5/22,ye hi saṁsparśa-jā bhogāduḥkha-yonaya eva teādy-antavantaḥ kaunteyana teṣu ramate budhaḥ,"An intelligent person does not take part in the sources of misery, which are due to contact with the material senses. O son of Kuntī, such pleasures have a beginning and an end, and so the wise man does not delight in them.",https://vedabase.io/en/library/bg/5/22/
5/23,śaknotīhaiva yaḥ soḍhuṁprāk śarīra-vimokṣaṇātkāma-krodhodbhavaṁ vegaṁsa yuktaḥ sa sukhī naraḥ,"Before giving up this present body, if one is able to tolerate the urges of the material senses and check the force of desire and anger, he is well situated and is happy in this world.",https://vedabase.io/en/library/bg/5/23/
5/24,yo ’ntaḥ-sukho ’ntar-ārāmastathāntar-jyotir eva yaḥsa yogī brahma-nirvāṇaṁbrahma-bhūto ’dhigacchati,"One whose happiness is within, who is active and rejoices within, and whose aim is inward is actually the perfect mystic. He is liberated in the Supreme, and ultimately he attains the Supreme.",https://vedabase.io/en/library/bg/5/24/
5/25,labhante brahma-nirvāṇamṛṣayaḥ kṣīṇa-kalmaṣāḥchinna-dvaidhā yatātmānaḥsarva-bhūta-hite ratāḥ,"Those who are beyond the dualities that arise from doubts, whose minds are engaged within, who are always busy working for the welfare of all living beings and who are free from all sins achieve liberation in the Supreme.",https://vedabase.io/en/library/bg/5/25/
5/26,kāma-krodha-vimuktānāṁyatīnāṁ yata-cetasāmabhito brahma-nirvāṇaṁvartate viditātmanām,"Those who are free from anger and all material desires, who are self-realized, self-disciplined and constantly endeavoring for perfection, are assured of liberation in the Supreme in the very near future.",https://vedabase.io/en/library/bg/5/26/
5/27-28,sparśān kṛtvā bahir bāhyāṁścakṣuś caivāntare bhruvoḥprāṇāpānau samau kṛtvānāsābhyantara-cāriṇau,"Shutting out all external sense objects, keeping the eyes and vision concentrated between the two eyebrows, suspending the inward and outward breaths within the nostrils, and thus controlling the mind, senses and intelligence, the transcendentalist aiming at liberation becomes free from desire, fear and anger. One who is always in this state is certainly liberated.",https://vedabase.io/en/library/bg/5/27-28/
5/29,bhoktāraṁ yajña-tapasāṁsarva-loka-maheśvaramsuhṛdaṁ sarva-bhūtānāṁjñātvā māṁ śāntim ṛcchati,"A person in full consciousness of Me, knowing Me to be the ultimate beneficiary of all sacrifices and austerities, the Supreme Lord of all planets and demigods, and the benefactor and well-wisher of all living entities, attains peace from the pangs of material miseries.",https://vedabase.io/en/library/bg/5/29/
6/1,śrī-bhagavān uvācaanāśritaḥ karma-phalaṁkāryaṁ karma karoti yaḥsa sannyāsī ca yogī cana niragnir na cākriyaḥ,"The Supreme Personality of Godhead said: One who is unattached to the fruits of his work and who works as he is obligated is in the renounced order of life, and he is the true mystic, not he who lights no fire and performs no duty.",https://vedabase.io/en/library/bg/6/1/
6/2,yaṁ sannyāsam iti prāhuryogaṁ taṁ viddhi pāṇḍavana hy asannyasta-saṅkalpoyogī bhavati kaścana,"What is called renunciation you should know to be the same as yoga, or linking oneself with the Supreme, O son of Pāṇḍu, for one can never become a yogī unless he renounces the desire for sense gratification.",https://vedabase.io/en/library/bg/6/2/
6/3,ārurukṣor muner yogaṁkarma kāraṇam ucyateyogārūḍhasya tasyaivaśamaḥ kāraṇam ucyate,"For one who is a neophyte in the eightfold yoga system, work is said to be the means; and for one who is already elevated in yoga, cessation of all material activities is said to be the means.",https://vedabase.io/en/library/bg/6/3/
6/4,yadā hi nendriyārtheṣuna karmasv anuṣajjatesarva-saṅkalpa-sannyāsīyogārūḍhas tadocyate,"A person is said to be elevated in yoga when, having renounced all material desires, he neither acts for sense gratification nor engages in fruitive activities.",https://vedabase.io/en/library/bg/6/4/
